,order,implementation,sample_size,time_mean
0,msprime,py_pythran,10,3.031221999663103e-05
1,msprime,py_numba,10,3.081448996908875e-05
2,msprime,py_tskit,10,8.919405000142433e-05
3,msprime,c_lib,10,9.1e-07
4,msprime,c_recursive,10,8.2e-07
5,msprime,c_struct_contiguous,10,8.5e-07
6,msprime,c_struct_fragmented,10,8.4e-07
7,msprime,cpp_lib,10,6.7e-07
8,msprime,cpp_pre_alloc,10,6e-07
9,msprime,cpp_heap_alloc,10,6.4e-07
10,msprime,BioPython,10,0.00012901324000267779
11,preorder,py_pythran,10,2.985654998155951e-05
12,preorder,py_numba,10,2.8824760024690478e-05
13,preorder,py_tskit,10,1.8816489996424936e-05
14,preorder,c_lib,10,4.8e-07
15,preorder,c_recursive,10,6e-07
16,preorder,c_struct_contiguous,10,7.5e-07
17,preorder,c_struct_fragmented,10,4.7e-07
18,preorder,cpp_lib,10,4.5e-07
19,preorder,cpp_pre_alloc,10,3.6e-07
20,preorder,cpp_heap_alloc,10,4.6e-07
21,preorder,BioPython,10,0.00010906940001405019
22,msprime,py_pythran,100,3.9801000011721046e-05
23,msprime,py_numba,100,5.486083004143438e-05
24,msprime,py_tskit,100,2.0677990009971834e-05
25,msprime,c_lib,100,2.65e-06
26,msprime,c_recursive,100,2.99e-06
27,msprime,c_struct_contiguous,100,2.79e-06
28,msprime,c_struct_fragmented,100,2.73e-06
29,msprime,cpp_lib,100,2.85e-06
30,msprime,cpp_pre_alloc,100,2.74e-06
31,msprime,cpp_heap_alloc,100,2.84e-06
32,msprime,BioPython,100,0.0017318820899981803
33,preorder,py_pythran,100,4.225505999329471e-05
34,preorder,py_numba,100,5.6821570019565115e-05
35,preorder,py_tskit,100,2.0590279973475845e-05
36,preorder,c_lib,100,2.98e-06
37,preorder,c_recursive,100,3.01e-06
38,preorder,c_struct_contiguous,100,3.05e-06
39,preorder,c_struct_fragmented,100,2.77e-06
40,preorder,cpp_lib,100,2.68e-06
41,preorder,cpp_pre_alloc,100,2.76e-06
42,preorder,cpp_heap_alloc,100,2.81e-06
43,preorder,BioPython,100,0.0011681219200045233
44,msprime,py_pythran,1000,0.00015905793998626904
45,msprime,py_numba,1000,0.00035538458000246466
46,msprime,py_tskit,1000,5.144737001046451e-05
47,msprime,c_lib,1000,3.363e-05
48,msprime,c_recursive,1000,3.463e-05
49,msprime,c_struct_contiguous,1000,3.367e-05
50,msprime,c_struct_fragmented,1000,3.478e-05
51,msprime,cpp_lib,1000,3.468e-05
52,msprime,cpp_pre_alloc,1000,3.723e-05
53,msprime,cpp_heap_alloc,1000,4.206e-05
54,preorder,py_pythran,1000,0.00016231913998581148
55,preorder,py_numba,1000,0.00038484898002479897
56,preorder,py_tskit,1000,5.015872999138082e-05
57,preorder,c_lib,1000,3.224e-05
58,preorder,c_recursive,1000,3.431e-05
59,preorder,c_struct_contiguous,1000,3.262e-05
60,preorder,c_struct_fragmented,1000,3.423e-05
61,preorder,cpp_lib,1000,3.219e-05
62,preorder,cpp_pre_alloc,1000,3.382e-05
63,preorder,cpp_heap_alloc,1000,3.824e-05
64,msprime,py_pythran,10000,0.001543393539996032
65,msprime,py_numba,10000,0.00345064699998602
66,msprime,py_tskit,10000,0.000560489179997603
67,msprime,c_lib,10000,0.00053178
68,msprime,c_recursive,10000,0.00046959
69,msprime,c_struct_contiguous,10000,0.00047955
70,msprime,c_struct_fragmented,10000,0.00036803
71,msprime,cpp_lib,10000,0.00059516
72,msprime,cpp_pre_alloc,10000,0.00040341
73,msprime,cpp_heap_alloc,10000,0.00050661
74,preorder,py_pythran,10000,0.001391955879980742
75,preorder,py_numba,10000,0.0031620558600207005
76,preorder,py_tskit,10000,0.0003550795499995729
77,preorder,c_lib,10000,0.00031829
78,preorder,c_recursive,10000,0.00034721
79,preorder,c_struct_contiguous,10000,0.00034131
80,preorder,c_struct_fragmented,10000,0.00036743
81,preorder,cpp_lib,10000,0.00031937
82,preorder,cpp_pre_alloc,10000,0.00035154
83,preorder,cpp_heap_alloc,10000,0.0004331
84,msprime,py_pythran,100000,0.018498112289994425
85,msprime,py_numba,100000,0.037656969949994165
86,msprime,py_tskit,100000,0.015897764479987017
87,msprime,c_lib,100000,0.0157887
88,msprime,c_recursive,100000,0.0106326
89,msprime,c_struct_contiguous,100000,0.0130698
90,msprime,c_struct_fragmented,100000,0.00417615
91,msprime,cpp_lib,100000,0.017408
92,msprime,cpp_pre_alloc,100000,0.00546903
93,msprime,cpp_heap_alloc,100000,0.00746693
94,preorder,py_pythran,100000,0.013685082899978624
95,preorder,py_numba,100000,0.030252021899987085
96,preorder,py_tskit,100000,0.004020538160034448
97,preorder,c_lib,100000,0.00348938
98,preorder,c_recursive,100000,0.00374491
99,preorder,c_struct_contiguous,100000,0.00389699
100,preorder,c_struct_fragmented,100000,0.00393112
101,preorder,cpp_lib,100000,0.00354158
102,preorder,cpp_pre_alloc,100000,0.0048333
103,preorder,cpp_heap_alloc,100000,0.00615554
104,msprime,py_pythran,1000000,0.3871759537000344
105,msprime,py_numba,1000000,0.580607776099896
106,msprime,py_tskit,1000000,0.2794215374000487
107,msprime,c_lib,1000000,0.278861
108,msprime,c_recursive,1000000,0.227712
109,msprime,c_struct_contiguous,1000000,0.200664
110,msprime,c_struct_fragmented,1000000,0.0457711
111,msprime,cpp_lib,1000000,0.275502
112,msprime,cpp_pre_alloc,1000000,0.0655983
113,msprime,cpp_heap_alloc,1000000,0.085796
114,preorder,py_pythran,1000000,0.13111493300011717
115,preorder,py_numba,1000000,0.2935647123000308
116,preorder,py_tskit,1000000,0.041060154500064526
117,preorder,c_lib,1000000,0.0377609
118,preorder,c_recursive,1000000,0.0386297
119,preorder,c_struct_contiguous,1000000,0.0410292
120,preorder,c_struct_fragmented,1000000,0.0398326
121,preorder,cpp_lib,1000000,0.0381415
122,preorder,cpp_pre_alloc,1000000,0.0525615
123,preorder,cpp_heap_alloc,1000000,0.0721549
124,msprime,py_pythran,10000000,5.6081805720000375
125,msprime,py_numba,10000000,7.868532750399936
126,msprime,py_tskit,10000000,3.894114478199981
127,msprime,c_lib,10000000,3.92329
128,msprime,c_recursive,10000000,3.59757
129,msprime,c_struct_contiguous,10000000,2.90796
130,msprime,c_struct_fragmented,10000000,1.13303
131,msprime,cpp_lib,10000000,3.88043
132,msprime,cpp_pre_alloc,10000000,1.26021
133,msprime,cpp_heap_alloc,10000000,1.42537
134,preorder,py_pythran,10000000,1.3116616344999783
135,preorder,py_numba,10000000,2.94318421590001
136,preorder,py_tskit,10000000,0.3988498234999042
137,preorder,c_lib,10000000,0.388653
138,preorder,c_recursive,10000000,0.388435
139,preorder,c_struct_contiguous,10000000,0.417013
140,preorder,c_struct_fragmented,10000000,0.404093
141,preorder,cpp_lib,10000000,0.391338
142,preorder,cpp_pre_alloc,10000000,0.520582
143,preorder,cpp_heap_alloc,10000000,0.710691
