,order,implementation,sample_size,time_mean
0,msprime,py_numba_vect,10,5.179950003366684e-07
1,msprime,c_vectorised,10,1.01e-07
2,preorder,py_numba_vect,10,5.667179993906757e-07
3,preorder,c_vectorised,10,1.06e-07
4,msprime,py_numba_vect,100,4.733362000479247e-06
5,msprime,c_vectorised,100,1.002e-06
6,preorder,py_numba_vect,100,4.591479000737308e-06
7,preorder,c_vectorised,100,9.63e-07
8,msprime,py_numba_vect,1000,4.484588900049857e-05
9,msprime,c_vectorised,1000,1.076e-05
10,preorder,py_numba_vect,1000,4.4220419998964644e-05
11,preorder,c_vectorised,1000,1.0534e-05
12,msprime,py_numba_vect,10000,0.00045285932299884735
13,msprime,c_vectorised,10000,0.000104179
14,preorder,py_numba_vect,10000,0.00045254743199984657
15,preorder,c_vectorised,10000,9.9505e-05
16,msprime,py_numba_vect,100000,0.0046609758359991245
17,msprime,c_vectorised,100000,0.0011222
18,preorder,py_numba_vect,100000,0.004695427407999887
19,preorder,c_vectorised,100000,0.00102474
20,msprime,py_numba_vect,1000000,0.1555362883998896
21,msprime,c_vectorised,1000000,0.0612951
22,preorder,py_numba_vect,1000000,0.10453912019984272
23,preorder,c_vectorised,1000000,0.0209624
24,msprime,py_numba_vect,10000000,1.745176493799954
25,msprime,c_vectorised,10000000,0.751059
26,preorder,py_numba_vect,10000000,0.909674054899915
27,preorder,c_vectorised,10000000,0.198989
